"Domain","Question"
"Relationships and Networks","How has your approach to vulnerability in relationships evolved over time?"
"Relationships and Networks","What kinds of people are you drawn to repeatedly — and why do you think that is?"
"Relationships and Networks","What patterns do you notice in how your friendships tend to form or fade?"
"Relationships and Networks","What relationship boundary did you learn to establish the hard way?"
"Relationships and Networks","What relationship dynamic repeatedly appears in your life that you recognize as a pattern to address?"
"Relationships and Networks","What relationship taught you the most about your own capacity for change or adaptation?"
"Relationships and Networks","What role does reciprocity play in how you evaluate and maintain your relationships?"
"Relationships and Networks","What's something you wish people understood about how you relate to others?"
"Relationships and Networks","What's the most significant way your approach to family relationships has evolved as you've aged?"
"Relationships and Networks","When have you felt most connected to a group or community? What contributed to that feeling?"
"Relationships and Networks","When have you felt truly seen or understood by someone? What made that possible?"
"Relationships and Networks","Who are the people who have most shaped your life, and in what ways?"
"Relationships and Networks","Who do you turn to when you're uncertain, and what does that say about your trust structures?"
"Values, Beliefs, and Goals","Have you ever adopted someone else's goals or values by accident? What happened?"
"Values, Beliefs, and Goals","How do you define integrity for yourself, and how do you test or measure it?"
"Values, Beliefs, and Goals","How do you identify when a goal you're pursuing is truly yours versus adopted from external expectations?"
"Values, Beliefs, and Goals","How do you recognize when you're out of alignment with your own beliefs?"
"Values, Beliefs, and Goals","How do you set goals or intentions — and has that method evolved?"
"Values, Beliefs, and Goals","How has your concept of responsibility—to yourself, others, society—evolved over time?"
"Values, Beliefs, and Goals","How has your definition of success evolved from what was modeled for you in childhood?"
"Values, Beliefs, and Goals","How has your relationship with uncertainty or the unknown shifted in relation to your life planning?"
"Values, Beliefs, and Goals","How has your understanding of time influenced your goal-setting and life priorities?"
"Values, Beliefs, and Goals","What aspiration have you abandoned that once seemed central to your identity, and what replaced it?"
"Values, Beliefs, and Goals","What belief do you hold that puts you at odds with people you otherwise align with?"
"Values, Beliefs, and Goals","What ethical compromise have you made that later caused you to reevaluate your principles?"
"Values, Beliefs, and Goals","What experience challenged a moral certainty you held, and how did you reconcile that challenge?"
"Values, Beliefs, and Goals","What goals have remained steady across your life, and which ones have faded or changed?"
"Values, Beliefs, and Goals","What value became more important to you as you aged that seemed irrelevant in your youth?"
"Values, Beliefs, and Goals","What values feel non-negotiable to you, no matter the context?"
"Values, Beliefs, and Goals","What's a moment when you felt proud — and what does that reveal about what you value?"
"Values, Beliefs, and Goals","What's a question you return to again and again in life?"
"Values, Beliefs, and Goals","When have you had to choose between two values or priorities? How did you navigate it?"
"Values, Beliefs, and Goals","When have your actions most clearly reflected your core principles?"
